location,mandatory,helmeted,car_2,injury
USA,N,17.96407186,81.6,35.1796407
USA,N,16.01796407,81.6,14.8203593
USA,N,21.28060264,81.6,39.9246704
USA,N,40.84507042,81.6,13.3802817
Australia,Y,11.42857143,78.9,68.5714286
Australia,N,15.26315789,78.9,30.5847953
Australia,N,12.45614035,78.9,4.0350877
Australia,N,15.26315789,78.9,30.9356725
Australia,N,15.26315789,78.9,3.4502924
Australia,N,0.058479532,78.9,0.6432749
UK,N,8.829174664,47.3,9.9808061
Australia,Y,32.69230769,78.9,26.0989011
Australia,Y,36.81318681,78.9,10.7142857
Australia,Y,43.68131868,78.9,17.8571429
USA/Canada,N,1.690507152,75.05,58.5175553
Canada,N,13.73390558,68.5,10.8726753
USA,N,39.46902655,81.6,20.619469
USA,N,35.95870206,81.6,5.4867257
USA,N,35.59622196,81.6,6.0802834
USA,N,39.42080378,81.6,2.2458629
Australia,Y,50.21834061,78.9,24.4541485
Canada,N,22.36662107,68.5,38.8508892
Canada,N,15.8002736,68.5,4.2407661
USA,N,1.421800948,81.6,46.9194313
USA,Y,14.90384615,81.6,61.5384615
USA,Y,5.288461538,81.6,9.6153846
USA,Y,15.2,81.6,64
USA,Y,12,81.6,37.6
Norway,N,17.15438951,52.2,24.2179617
Norway,N,14.32896065,52.2,25.6306761
Singapore,N,10.625,17,36.25
Singapore,N,10,17,8.75
Singapore,N,10.625,17,33.75
UAE,N,1,23.4,34
Hong Kong,N,0.429799427,9.2,9.5988539
Finland,Y,19.20529801,64.2,41.0596026
Australia,Y,76.99680511,78.9,4.4728435
Hong Kong,N,2.052785924,9.2,29.4721408
Hong Kong,N,1.319648094,9.2,2.0527859
Hong Kong,N,1.612903226,9.2,21.1143695
Hong Kong,N,1.319648094,9.2,0.2932551
France,N,16.74429715,48.2,17.5683745
France,N,13.75850949,48.2,1.7198137
France,N,17.32951153,48.2,23.0025081
France,N,15.23946017,48.2,6.3179267
USA,Y,32.38095238,81.6,38.3333333
USA,Y,26.19047619,81.6,11.9047619
Canada,Y,26.35658915,68.5,55.0387597
USA,Y,14.72392638,81.6,25.1533742
USA,Y,7.36196319,81.6,9.8159509
USA,Y,6.134969325,81.6,6.7484663
Australia,Y,75.41882876,78.9,9.4736842
Australia,Y,71.96441809,78.9,4.0326168
Australia,Y,53.63636364,78.9,51.8181818
Australia,Y,34.54545455,78.9,13.6363636
Australia,Y,51.81818182,78.9,37.2727273
Australia,Y,63.50364964,78.9,43.7956204
Australia,Y,43.06569343,78.9,4.379562
Australia,Y,63.50364964,78.9,3.649635
USA,N,33.42245989,81.6,21.9251337
USA,N,28.34224599,81.6,4.8128342
USA,N,28.87700535,81.6,7.486631
USA,N,28.34224599,81.6,2.4064171
USA,N,18.87550201,81.6,8.8353414
Canada,Y,53.47164237,68.5,12.3450446
Canada,Y,47.9542681,68.5,0.8671077
Canada,Y,57.49887597,68.5,15.8584366
Canada,Y,48.55160897,68.5,1.1625666
Germany,N,13.8121547,57.4,34.8066298
Germany,N,7.550644567,57.4,3.8674033
Germany,N,8.763250883,57.4,21.8138987
Germany,N,7.184923439,57.4,1.4605418
Sweden,Y,34.40860215,47.3,26.344086
Sweden,Y,32.79569892,47.3,22.0430108
Sweden,Y,33.33333333,47.3,25.2688172
Sweden,Y,31.72043011,47.3,10.7526882
Australia,Y,71.25984252,78.9,43.7007874
Australia,Y,41.73228346,78.9,3.1496063
Australia,Y,60.62992126,78.9,30.7086614
USA,N,22.07606147,81.6,38.6559
USA,N,18.06460016,81.6,16.1630633
USA,N,22.07606147,81.6,0.403751
USA,N,25.94059406,81.6,13.8613861
USA,N,20.10582011,81.6,23.1040564
USA,N,19.04761905,81.6,13.2275132
USA,N,31.04056437,81.6,43.2098765
USA,N,17.28395062,81.6,1.7636684
USA,Y,25.1788269,81.6,7.8683834
USA,Y,25.03576538,81.6,7.4391989
USA,Y,28.89842632,81.6,14.5922747
USA,Y,24.89270386,81.6,1.5736767
Sweden,Y,41.79466451,47.3,16.7879278
Sweden,Y,34.73457289,47.3,0.6467259
Sweden,Y,53.73214767,47.3,32.3901913
Sweden,Y,35.21961735,47.3,1.5359741
